UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCSC,Denmark,Aarhus University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Denmark,Aarhus University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Denmark,Technical University of Denmark,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Denmark,Technical University of Denmark,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Denmark,Technical University of Denmark,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,France,ISARA Lyon,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: Academic Programs International (API),
UCSC,France,ISARA-Lyon,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Germany,Freie Universitat Berlin,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Germany,Freie Universitat Berlin,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Germany,Freie Universitat Berlin,Year,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Germany,Heidelberg University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Germany,Heidelberg University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Germany,Heidelberg University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Provider: International Studies Abroad (ISA),
UCSC,Ireland,Global Internship: Psychology and Cognitive Science,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Internship,
UCSC,Ireland,Global Seminar: Travel Writing and Podcasting in Ireland,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Global Seminar,
UCSC,Italy,Global Seminar: Film History and Preservation in Bologna,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Global Seminar,
UCSC,Italy,Global Seminars: Italian Culture Through Food and Language on the Amalfi Coast,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Global Seminar,
UCSC,Italy,University of Padova,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Italy,University of Padova,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan, Global Seminar: Mokuhanga Printmaking in Japan,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Global Seminar,
UCSC,Japan,Kyoto University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Kyoto University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Kyoto University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Osaka University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Osaka University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Osaka University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Rikkyo University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Rikkyo University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Sophia University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Sophia University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,Sophia University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of the Ryukus,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of the Ryukus,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of the Ryukus,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of Tokyo,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of Tokyo,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Japan,University of Tokyo,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea Advanced Institute of Science and Technology,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea Advanced Institute of Science and Technology,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea Advanced Institute of Science and Technology,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Korea University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Seoul National University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Seoul National University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Seoul National University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Sungkyunkwan University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Sungkyunkwan University,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Korea,Sungkyunkwan University,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,Norwegian University of Science and Technology,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,Norwegian University of Science and Technology,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,Norwegian University of Science and Technology,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,University of Bergen,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,University of Bergen,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Norway,University of Bergen,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Peru,Pontificia U Catolica del Peru,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: Academic Programs International (API),
UCSC,Peru,Pontificia U Catolica del Peru,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: Academic Programs International (API),
UCSC,Portugal,Instituto Universitario de Lisboa,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: Academic Programs International (API),
UCSC,Portugal,Instituto Universitario de Lisboa,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Provider: Academic Programs International (API),
UCSC,South Africa,Global Internship: Psychology and Cognitive Science,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Internship,
UCSC,Spain,Autonomous University of Barcelona,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Autonomous University of Barcelona,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Autonomous University of Barcelona,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Global Seminar: Cultures of Southern Spain,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Global Seminar,
UCSC,Spain,Universidad Complutense de Madrid,Fall quarter,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad Complutense de Madrid,Spring quarter,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad Complutense de Madrid,Winter quarter,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Barcelona,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Barcelona,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Barcelona,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Granada,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Granada,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universidad de Granada,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universitat Pompeu Fabra,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universitat Pompeu Fabra,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Spain,Universitat Pompeu Fabra,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Bristol,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Bristol,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Bristol,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of East Anglia,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of East Anglia,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of East Anglia,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Leeds,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Leeds,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Leeds,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Sussex,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Sussex,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,UK-England,University of Sussex,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSD,Australia,Macquarie University,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Australia,Macquarie University,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Costa Rica,Sea Turtles and Tropical Field Ecology in Costa Rica,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Ecuador,Biodiversity and Evoluation of the Galapagos Islands and Mainland Ecuador,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Ecuador,Multiculturalism in Medieval Spain and the New World,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,France,Ecole Polytechnique,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,France,Ecole Polytechnique,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,France,L'Anatomie a Paris - an Inclusive Approach,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,France,Sign Language Studies in Paris,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Germany,Bauhaus-Universität Weimar,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Ireland,Sixth College Internships in Dublin,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Italy,Revelle in Rome,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Japan,Kyoto University,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Japan,Kyoto University,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,New Zealand,"Screening New Zealand: Cinema, Globalization & CAT",Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Puerto Rico,"People, Politics, and Power in Puerto Rico",Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Spain,Multilingual and Multicultural Spain,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Spain,Social Cognition and Drugs in Spain,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Spain,"Spanish Memories, African Hopes, Through Literature and Film",Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Spain,Universidad Publica de Navarra,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Spain,Universidad Publica de Navarra,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Switzerland,Geology Adventures in the Swiss Alps,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,Switzerland,The Swiss Federal Institute of Technology in Lausanne,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Switzerland,The Swiss Federal Institute of Technology in Lausanne,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Switzerland,Zurich University of Applied Sciences,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,Switzerland,Zurich University of Applied Sciences,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,UK - Scotland,"Genetics, Pandemics, and Society in Edinburgh",Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,UK - Scotland,Revelle in Edinburgh,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,UK-England,Revelle in London,Summer,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Seminars,
UCSD,UK-England,University of Southampton,Fall semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
UCSD,UK-England,University of Southampton,Spring semester,,n/a,n/a,n/a,n/a,n/a,2024-25,Global Exchange,
