UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCEAP,Canada,UBC,Fall semester,3.00,yes,No,Immersion,open,Optional,2024-25,We have not had a student do an internship in Canada.,
UCEAP,Canada,UBC,Spring semester,3.00,yes,No,Immersion,open,Optional,2024-25,We have not had a student do an internship in Canada.,
UCEAP,Canada,UBC,Year,3.00,yes,No,Immersion,open,Optional,2024-25,We have not had a student do an internship in Canada.,
UCEAP,Chile,Business and Economics in English - University of Chile,Fall semester,2.85,yes,No,Discipline Focused,social science,Optional,2024-25, ,
UCEAP,Chile,Business and Economics in English - University of Chile,Spring semester,2.85,yes,No,Discipline Focused,social science,Optional,2024-25, ,
UCEAP,Chile,Business and Economics in English - University of Chile,Year,2.85,yes,No,Discipline Focused,social science,Optional,2024-25, ,
UCEAP,Chile,PUC Chile,Fall semester,2.85,No,No,Immersion,open,No,2024-25, ,
UCEAP,Chile,PUC Chile,Spring semester,2.85,No,No,Immersion,open,No,2024-25, ,
UCEAP,Chile,PUC Chile,Year,2.85,No,No,Immersion,open,No,2024-25, ,
UCEAP,Chile,Socio-Ecological Sustainability in Southern Chile - University of Chile,Fall semester,2.85,yes,No,Themed,life sciences,No,2024-25, ,
UCEAP,Chile,University of Chile,Fall semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Chile,University of Chile,Spring semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Chile,University of Chile,Year,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,China,Chinese in Beijing - Peking University,Fall semester,2.50,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,China,Chinese in Beijing - Peking University,Summer,2.50,No,Yes,Language,humanities,No,2024-25,"was a L&C program at Beijing Normal, moved to PKU in summer 2017, named changed from Intensive Chinese in 2019",
UCEAP,China,Fudan University,Fall Semester,3.00,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,China,Fudan University,Spring Semester,3.00,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,China,Peking University,Spring Semester,3.00,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,China,Peking University,Year,3.00,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,China,Shanghai Summer - Fudan,Summer,2.85,yes,Yes,International School,open,No,2024-25, ,
UCEAP,China,Summer Global Internship - CIEE Shanghai,Summer,2.50,yes,Yes,Intern,open,Required,2024-25, ,
UCEAP,China,Tsinghua University,Spring Semester,3.00,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,Costa Rica,Tropical Biology & Conservation - Monteverde Institute,Fall quarter,2.50,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Costa Rica,Tropical Biology & Conservation - Monteverde Institute,Fall semester,2.50,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Costa Rica,Tropical Biology & Conservation - Monteverde Institute,Spring quarter,2.50,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Costa Rica,Tropical Biology & Conservation - Monteverde Institute,Spring semester,2.50,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Czech Republic,Central European Studies - CIEE Prague,Fall semester,2.50,yes,Yes,International School,interdisciplinary,Optional,2024-25, ,
UCEAP,Czech Republic,Central European Studies - CIEE Prague,Spring semester,2.50,yes,Yes,International School,interdisciplinary,Optional,2024-25, ,
UCEAP,Czech Republic,Central European Studies - CIEE Prague,Year,2.50,yes,Yes,International School,interdisciplinary,Optional,2024-25, ,
UCEAP,Czech Republic,Summer Internship - Prague,Summer,2.75,yes,No,Intern,open,Required,2024-25, ,
UCEAP,Denmark,Aarhus University,Fall semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Denmark,Aarhus University,Spring semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Denmark,Aarhus University,Year,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Denmark,Copenhagen Business School,Summer,2.85,yes,Yes,Discipline Focused,social science,No,2024-25, ,
UCEAP,Denmark,University of Copenhagen,Fall semester,2.85,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Denmark,University of Copenhagen,Spring semester,2.85,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Denmark,University of Copenhagen,Year,2.85,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Dominican Republic,Community Public Health - CIEE,Summer,2.50,No,No,Themed,life sciences,No,2024-25, ,
UCEAP,Egypt,American University in Cairo,Fall semester,2.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Egypt,American University in Cairo,Spring semester,2.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Egypt,American University in Cairo,Year,2.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,France,Field Research and Internship - Paris,Fall semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,France,Field Research and Internship - Paris,Spring semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,France,Field Research and Internship - Strasburg,Fall semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,France,Field Research and Internship - Strasburg,Spring semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,France,"Food, History, and Culture in Paris - UC Center Paris",Fall semester,2.00,Mixed,Yes,Themed,interdisciplinary,No,2024-25,formerly French & European Studies,
UCEAP,France,French in Bordeaux - University of Bordeaux,Fall semester,2.50,No,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,France,French in Bordeaux - University of Bordeaux,spring semester,2.50,No,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,France,French in Paris - UC Center Paris,Fall semester,2.00,Mixed,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,France,French in Paris - UC Center Paris (intensive),Summer,2.00,Mixed,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,France,French in Paris - UC Center Paris (semi-intensive),Summer,2.00,Mixed,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,France,Sciences Po - Political Science -  Paris,Fall semester,3.00,Mixed,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,France,Sciences Po - Political Science -  Paris,Spring semester,3.00,Mixed,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,France,Sciences Po - Political Science -  Paris,Year,3.00,Mixed,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,France,Social Justice and Activism - UC Center Paris,Spring semester,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,France,Social Justice and Activism - UC Center Paris,Winter quarter,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,France,University of Bordeaux,Fall semester,2.75,Mixed,No,Immersion,open,Optional,2024-25,name changed from Coursework in French in 2019,
UCEAP,France,University of Bordeaux,Spring semester,2.75,Mixed,No,Immersion,open,Optional,2024-25,name changed from Coursework in French in 2019,
UCEAP,France,University of Bordeaux,Year,2.75,Mixed,No,Immersion,open,Optional,2024-25,name changed from Coursework in French in 2019,
UCEAP,France,University of Lyon,Fall semester,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,France,University of Lyon,Spring semester,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,France,University of Lyon,Year,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Berlin Experience,Fall quarter,2.50,yes,Yes,International School,open,No,2024-25, ,
UCEAP,Germany,Berlin Experience,Fall semester,2.50,yes,Yes,International School,open,No,2024-25, ,
UCEAP,Germany,Berlin Experience,Spring quarter,2.50,yes,Yes,International School,open,No,2024-25, ,
UCEAP,Germany,Berlin Experience,Winter quarter,2.50,yes,Yes,International School,open,No,2024-25, ,
UCEAP,Germany,Berlin Summer - Free University Berlin,Summer,2.75,Mixed,Yes,International School,interdisciplinary,No,2024-25,name changed from ISS in 2019,
UCEAP,Germany,European Studies - Free University (BEST),Fall semester,2.85,Mixed,Yes,International School,interdisciplinary,No,2024-25, ,
UCEAP,Germany,European Studies - Free University (BEST),Spring semester,2.85,Mixed,Yes,International School,interdisciplinary,No,2024-25, ,
UCEAP,Germany,Free University Berlin,Fall semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Free University Berlin,Spring semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Free University Berlin,Year,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Humboldt University Berlin,Fall semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Humboldt University Berlin,Spring semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Humboldt University Berlin,Year,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,International Summer School - Technical University,Summer,2.75,Mixed,Yes,International School,physical science,No,2024-25, ,
UCEAP,Germany,Summer Global Internship - CIEE Berlin,Summer,2.50,yes,Yes,Intern,open,Required,2024-25, ,
UCEAP,Germany,Technical University Berlin,Fall semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Technical University Berlin,Spring semester,2.85,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Germany,Technical University Berlin,Year,2.85,No,No,Immersion,open,Optional,2024-25, ,
