Country,Male,Female,Program Title,GPA,English-language instruction?
united kingdom - england,"1755,315","60913,553",Oxford on Film,,Yes
united kingdom - england,"1755,315","60913,553",Political Science at the London School of Economics,,Yes
united kingdom - england,"1755,315","60913,553","Environment and Sustainability, University of East Anglia",2.85,yes
united kingdom - england,"1755,315","60913,553",Imperial College London,3.0,yes
united kingdom - england,"1755,315","60913,553",King's College London,3.3,yes
united kingdom - england,"1755,315","60913,553",London School of Economics,3.3,yes
united kingdom - england,"1755,315","60913,553",London's Calling - UC Center London,2.0,yes
united kingdom - england,"1755,315","60913,553",Sotheby's Institute of Art,3.0,yes
united kingdom - england,"1755,315","60913,553",Summer at LSE - LSE,2.85,yes
united kingdom - england,"1755,315","60913,553",Summer at University College London - University College London,3.0,yes
united kingdom - england,"1755,315","60913,553","Summer in Cambridge - Pembroke College, Cambridge University",3.2,yes
united kingdom - england,"1755,315","60913,553","Summer in Oxford - Exeter College, Oxford University",3.3,yes
united kingdom - england,"1755,315","60913,553",Summer in Sussex - University of Sussex,2.5,yes
united kingdom - england,"1755,315","60913,553",Summer Study in London - Sotheby's Institute of Art,3.0,yes
united kingdom - england,"1755,315","60913,553",Sussex Summer Physics - University of Sussex,2.5,yes
united kingdom - england,"1755,315","60913,553",University College London,3.3,yes
united kingdom - england,"1755,315","60913,553",University of Bristol,3.0,yes
united kingdom - england,"1755,315","60913,553","University of London, Queen Mary",3.0,yes
united kingdom - england,"1755,315","60913,553","University of London, Royal Holloway",3.0,yes
united kingdom - england,"1755,315","60913,553",University of Manchester,3.0,yes
united kingdom - england,"1755,315","60913,553",University of Sussex,2.8,yes
united kingdom - england,"1755,315","60913,553",Business and Entrepreneurship in London - UC Center London,2.5,yes
united kingdom - england,"1755,315","60913,553",Global Cities Urban Realities,2.5,yes
united kingdom - england,"1755,315","60913,553","Travel Study: English - London, City of Transformations",,
united kingdom - england,"1755,315","60913,553",Austen and the City | English in London,,
united kingdom - england,"1755,315","60913,553",Computer App Development in London,,
united kingdom - england,"1755,315","60913,553",Downton Abbey: Popular Culture and Political Consensus - What's in Common?,,
united kingdom - england,"1755,315","60913,553",London Leadership Experience | Business in London,,
united kingdom - england,"1755,315","60913,553",University of Bristol,,
united kingdom - england,"1755,315","60913,553",University of East Anglia,,
united kingdom - england,"1755,315","60913,553",University of Leeds,,
united kingdom - england,"1755,315","60913,553",University of Sussex,,
united kingdom - england,"1755,315","60913,553",Revelle in London,,
united kingdom - england,"1755,315","60913,553",University of Southampton,,
united kingdom - england,"1755,315","60913,553",Design in Europe,,Yes
united kingdom - scotland,"1,089","2,527",In Search of Scotland,,Yes
united kingdom - scotland,"1,089","2,527","Genetics, Pandemics, and Society in Edinburgh",,
united kingdom - scotland,"1,089","2,527",Revelle in Edinburgh,,
united kingdom - scotland,"1,089","2,527",Design in Europe,,Yes
